year,season,district,taluka,col_count,sno,revenue_circle,insurance_units,farmers,app_loanee,app_non_loanee,area_insured_hect,farmers_premium_rs,state_premium_rs,goi_premium_rs,gross_premium_rs,sum_insured_rs,gender_male,gender_female,gender_others,cat_sc,cat_st,cat_obc,cat_gen,farmer_marginal,farmer_small,farmer_others,claim_prevented_sowing,claim_localized,claim_midterm,claim_yield_based,claim_post_harvest,claim_wbcis,claim_total
2018,Kharif,Wardha,Arvi,29,1,Arvi,6,2123,3797,43,3639.77,5970876.62,6764701.72,6764701.72,19500280.06,148218858.49,3401,437,2,274,212,2360,994,626,2617,597,0,0,0,0,0,0,0
2018,Kharif,Wardha,Ashti,29,2,Ashti,3,1677,2627,32,2481.14,4236807.18,4196008.81,4196008.81,12628824.80,102330851.05,2312,342,5,77,65,2107,410,400,1825,434,0,0,0,35,0,0,35
2018,Kharif,Wardha,Deoli,29,3,Deoli,6,3113,6194,126,5577.75,9146466.77,10355044.72,10355044.72,29856556.21,227717389.38,5413,904,3,825,297,4001,1197,945,4124,1251,0,0,0,0,0,0,0
2018,Kharif,Wardha,Hinganghat,29,4,Hinganghat,8,5130,7014,28,10092.49,19325504.93,14809074.28,14809074.28,48943653.49,419239017.57,6339,695,8,783,188,5420,651,816,4135,2091,0,1,0,7,0,0,8
2018,Kharif,Wardha,Karanja,29,5,Karanja,4,1459,2492,57,2249.84,3350745.9,3856072.2,3856072.2,11062890.30,93698775,2190,357,2,54,53,1847,595,498,1313,738,0,0,0,1,0,0,1
2018,Kharif,Wardha,Samudrapur,29,6,Samudrapur,8,3475,5225,123,6733.07,11581347.18,10689009.39,10689009.39,32959365.96,280091441.97,4866,478,4,408,272,2746,1922,288,3480,1580,0,0,0,0,0,0,0
2018,Kharif,Wardha,Seloo,29,7,Seloo,5,2705,4693,23,4519.1,7884009.97,7401214.28,7401214.28,22686438.53,186706644.53,4209,504,3,442,176,2681,1417,602,3365,749,0,0,0,1,0,0,1
2018,Kharif,Wardha,Wardha,29,8,Wardha,7,2857,4700,46,5561.31,9904437,8874016.88,8874016.88,27652470.76,230309377.53,4089,654,3,455,124,3106,1061,925,2670,1151,0,0,0,0,0,0,0
2022,Kharif,Wardha,Arvi,29,1,Arvi,7,2425,686,4053,4324.54,3529676.25,0,0,3529676.25,244629931.8,3903,835,1,241,149,3247,1102,539,3544,656,0,0,0,77,0,0,77
2022,Kharif,Wardha,Ashti,29,2,Ashti,4,2069,376,3303,2895.48,2380784.19,0,0,2380784.19,164691579.02,3065,613,1,167,61,2979,472,344,3141,194,0,0,0,13,0,0,13
2022,Kharif,Wardha,Deoli,29,3,Deoli,7,5655,605,9098,9877.6,8370101.34,0,0,8370101.34,568873830.55,7853,1844,6,1143,295,7275,990,695,8397,611,0,0,0,217,0,0,217
2022,Kharif,Wardha,Hinganghat,29,4,Hinganghat,10,8556,1398,12905,16146.32,13994121.85,0,0,13994121.85,944381155.58,12004,2290,9,1248,305,11562,1188,1658,10615,2030,0,0,0,240,0,0,240
2022,Kharif,Wardha,Karanja,29,5,Karanja,5,5639,281,8737,7734.75,6647229.68,0,0,6647229.68,449025713.22,7334,1683,1,320,205,7810,683,743,7794,481,0,0,0,0,0,0,0
2022,Kharif,Wardha,Samudrapur,29,6,Samudrapur,9,6218,1247,8520,11588.56,10133093.68,0,0,10133093.68,679056499.4,8396,1368,3,814,416,7948,589,882,7829,1056,0,0,0,615,0,0,615
2022,Kharif,Wardha,Seloo,29,7,Seloo,5,2459,596,3825,4354.06,3667474.46,0,0,3667474.46,249748824.64,3755,662,4,342,105,3547,427,563,3461,397,0,0,0,267,0,0,267
2022,Kharif,Wardha,Wardha,29,8,Wardha,8,3360,1279,4549,6308.48,5400383.89,0,0,5400383.89,365617141.76,4916,908,4,458,73,4595,702,722,4486,620,0,0,0,111,0,0,111
2024,Kharif,Wardha,Arvi,29,1,Arvi,7,13678,910,28739,26098.11,29647.21,106678158.3,63853519.83,170561325.34,1249873112.13,24488,5153,8,2096,1805,19584,6164,3121,24615,1913,0,1057,0,1,10,0,1068
2024,Kharif,Wardha,Ashti,29,2,Ashti,4,9227,1130,17785,15152,18915,63495652.55,38517382.98,102031950.53,735716190.37,15704,3203,8,1227,807,14356,2525,1548,16759,608,0,626,0,7,4,0,637
2024,Kharif,Wardha,Deoli,29,3,Deoli,7,17511,788,34838,35586.88,35624.02,150634820.11,90035002.36,240705446.49,1745570698.07,28641,6964,21,4354,1563,25657,4052,2615,31652,1359,0,2179,0,0,23,0,2202
2024,Kharif,Wardha,Hinganghat,29,4,Hinganghat,10,23169,2477,45085,52737.51,47562,224091288.66,118905331.79,343044182.45,2621325761.33,39592,7952,18,4904,1330,37364,3964,5433,36705,5424,0,3098,0,0,29,0,3127
2024,Kharif,Wardha,Karanja,29,5,Karanja,5,14903,605,28625,25646.34,29230,110849468.66,65802459.85,176681158.51,1273512195.51,23748,5475,7,1287,1548,24016,2379,2462,25297,1471,0,1394,0,16,8,0,1418
2024,Kharif,Wardha,Samudrapur,29,6,Samudrapur,9,21272,1290,38444,48125.73,39734,209278420.95,122761213.78,332079368.73,2407325118.59,33848,5867,19,3858,2714,30839,2323,3695,32409,3630,0,2112,0,0,2,0,2114
2024,Kharif,Wardha,Seloo,29,7,Seloo,5,14178,902,27424,28333.94,28325.7,120636631.51,74282061.87,194947019.08,1390661113,23757,4555,14,2217,1259,22135,2715,3135,23179,2012,0,1177,0,0,5,0,1182
2024,Kharif,Wardha,Wardha,29,8,Wardha,8,16710,1617,32137,36750.72,33753.02,156577872.67,93329683.98,249941309.67,1810994975.82,27929,5785,40,3170,1080,25444,4060,4357,26824,2573,0,1273,0,0,11,0,1284
2025,Kharif,Wardha,Arvi,29,1,Arvi,7,2425,686,4053,4324.54,3529676.25,0,0,3529676.25,244629931.8,3903,835,1,241,149,3247,1102,539,3544,656,0,0,0,77,0,0,77
2025,Kharif,Wardha,Ashti,29,2,Ashti,4,2069,376,3303,2895.48,2380784.19,0,0,2380784.19,164691579.02,3065,613,1,167,61,2979,472,344,3141,194,0,0,0,13,0,0,13
2025,Kharif,Wardha,Deoli,29,3,Deoli,7,5655,605,9098,9877.6,8370101.34,0,0,8370101.34,568873830.55,7853,1844,6,1143,295,7275,990,695,8397,611,0,0,0,217,0,0,217
2025,Kharif,Wardha,Hinganghat,29,4,Hinganghat,10,8556,1398,12905,16146.32,13994121.85,0,0,13994121.85,944381155.58,12004,2290,9,1248,305,11562,1188,1658,10615,2030,0,0,0,240,0,0,240
2025,Kharif,Wardha,Karanja,29,5,Karanja,5,5639,281,8737,7734.75,6647229.68,0,0,6647229.68,449025713.22,7334,1683,1,320,205,7810,683,743,7794,481,0,0,0,0,0,0,0
2025,Kharif,Wardha,Samudrapur,29,6,Samudrapur,9,6218,1247,8520,11588.56,10133093.68,0,0,10133093.68,679056499.4,8396,1368,3,814,416,7948,589,882,7829,1056,0,0,0,615,0,0,615
2025,Kharif,Wardha,Seloo,29,7,Seloo,5,2459,596,3825,4354.06,3667474.46,0,0,3667474.46,249748824.64,3755,662,4,342,105,3547,427,563,3461,397,0,0,0,267,0,0,267
2025,Kharif,Wardha,Wardha,29,8,Wardha,8,3360,1279,4549,6308.48,5400383.89,0,0,5400383.89,365617141.76,4916,908,4,458,73,4595,702,722,4486,620,0,0,0,111,0,0,111
2021,Kharif,Wardha,Arvi,29,1,Arvi,6,1011,1664,366,1848.53,2686716.29,4766281.65,4766281.65,12219279.59,80517616.7,1761,269,0,103,65,1381,481,344,1291,395,0,9,0,2,0,0,11
2021,Kharif,Wardha,Ashti,29,2,Ashti,3,780,958,392,1134.06,1580187.68,2919429.54,2919429.54,7419046.76,50176207.84,1156,194,0,57,19,1150,124,126,972,252,0,4,0,0,0,0,4
2021,Kharif,Wardha,Deoli,29,3,Deoli,6,1261,1870,480,2171.92,3571055.46,5427359.51,5427359.51,14425774.48,96187865.6,1985,360,5,206,66,1786,292,277,1764,309,0,6,0,0,0,0,6
2021,Kharif,Wardha,Hinganghat,29,4,Hinganghat,8,979,1481,176,2232.07,3678696.68,5570026.37,5570026.37,14818749.42,99284239.01,1457,198,2,162,11,1319,165,332,607,718,0,3,0,1,0,0,4
2021,Kharif,Wardha,Karanja,29,5,Karanja,4,1017,1262,408,1442.65,1991991.42,3706878.89,3706878.89,9405749.20,64284697.7,1399,271,0,47,26,1444,153,397,884,389,0,22,0,4,0,0,26
2021,Kharif,Wardha,Samudrapur,29,6,Samudrapur,8,1958,2317,485,3584.56,4293651.65,9377579.18,9377579.18,23048810.01,160773599.5,2516,285,1,143,49,2461,149,203,1992,607,0,6,0,0,0,0,6
2021,Kharif,Wardha,Seloo,29,7,Seloo,7,977,1457,160,1587.53,2219024.7,4087009.43,4087009.43,10393043.56,70358379,1414,203,0,80,41,1350,146,298,1095,224,0,3,0,0,0,0,3
2021,Kharif,Wardha,Wardha,29,8,Wardha,7,1037,1704,165,1848.38,3020302.12,4638333.45,4638333.45,12296969.02,81751441.75,1596,273,0,147,39,1465,218,305,1242,322,0,7,0,0,0,0,7
2023,Kharif,Wardha,Arvi,29,1,Arvi,6,14044,1317,27805,26700.3,29122,110433156.18,62243136.62,172705414.80,1295359659.39,23945,5175,2,2059,1780,19314,5969,3501,23771,1850,0,574,0,115,0,0,689
2023,Kharif,Wardha,Ashti,29,2,Ashti,4,9187,1166,16874,14056.27,18039.31,58991525.81,33224696.8,92234261.92,687957008.97,15029,3006,5,1279,758,13701,2302,1590,15928,522,0,351,0,115,0,0,466
2023,Kharif,Wardha,Deoli,29,3,Deoli,6,17624,961,33846,34634.22,34806.7,146890948.63,82605523.92,229531279.25,1709585769.59,28064,6731,12,4356,1676,24552,4223,2841,30703,1263,0,1087,0,388,0,0,1475
2023,Kharif,Wardha,Hinganghat,29,4,Hinganghat,8,22933,1763,42952,51136.45,44715,217018688.39,112570652.33,329634055.72,2542869279.29,37281,7414,20,4959,1449,34909,3398,5568,34329,4818,0,1672,0,808,0,0,2480
2023,Kharif,Wardha,Karanja,29,5,Karanja,4,14351,860,27277,24502.96,28137,105591724.98,59442821.8,165062683.78,1218177671.5,22916,5210,11,1259,1983,22650,2245,2802,23871,1464,0,920,0,285,0,0,1205
2023,Kharif,Wardha,Samudrapur,29,6,Samudrapur,9,20198,3233,32838,45178.14,36071,196550554.39,115949958.31,312536583.70,2257790479.11,30875,5183,13,3573,2655,27649,2194,3530,28832,3709,0,1346,0,1036,0,0,2382
2023,Kharif,Wardha,Seloo,29,7,Seloo,5,12910,1299,23636,25346.5,24934.05,108338572.13,64980320.57,173343826.75,1250049599.56,21006,3922,7,2078,1118,19210,2529,2855,19985,2095,0,655,0,420,0,0,1075
2023,Kharif,Wardha,Wardha,29,8,Wardha,8,15918,2078,29351,33312.48,31427.72,142081936.52,79704972.05,221818336.29,1650900775.66,26101,5290,38,3158,1115,23687,3469,4415,24391,2623,0,882,0,349,0,0,1231
